dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,source_of_data,data_publicity,doi,wwf_biome
45383,KAHA,26144,Lake Kahala,25.53861,59.48944,33,Lacustrine,Europe,Estonia,Europe,40,46,8486,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/p0mn-7534,Temperate broadleaf and mixed forests
45385,VIPI,26145,Viitna Linajärv,26.01389,59.45139,75,Lacustrine,Europe,Estonia,Europe,30,31,8419.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/2tkh-z079,Temperate broadleaf and mixed forests
45387,VILINA,26145,Viitna Linajärv,26.01389,59.45139,75,Lacustrine,Europe,Estonia,Europe,32,32,8189.999999999999,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/s6wg-4d92,Temperate broadleaf and mixed forests
45389,VJUUS,26146,Väike Juusa,26.51722,58.05917,122,Lacustrine,Europe,Estonia,Europe,52,31,8381.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/ws4c-an72,Temperate broadleaf and mixed forests
4539,YLIMYSNE,3513,Ylimysneva,22.86667,62.13333,172,Bog,Europe,Finland,Europe,46,-22,8442.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/yeg0-6p54,Boreal forests/taiga
45391,VER,26147,Lake Verijärv,27.05833,57.80833,90,Lacustrine,Europe,Estonia,Europe,158,22,8412.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/ap4h-y067,Temperate broadleaf and mixed forests
45393,VALL1,26148,Vällamäe,27.06917,57.73722,250,Mire,Europe,Estonia,Europe,66,110.5,8457.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/ccqb-dc70,Temperate broadleaf and mixed forests
45395,VALL3,26148,Vällamäe,27.06917,57.73722,250,Mire,Europe,Estonia,Europe,48,94,8287,13,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/f7qr-f244,Temperate broadleaf and mixed forests
45636,KILOLIT,26167,Litlvatnet,14.92872,68.52608,106,Natural Lake,Europe,NA,Europe,39,-25,8341.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/pr2m-cc37,Temperate coniferous forests
45639,KILOGAM,26168,Gammelheimenvatnet,17.75935,68.48221,290,Natural Lake,Europe,Norway,Europe,68,-24,8420,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/bkjz-st84,Tundra
45642,KILOBJO,26169,Bjørnfjelltjørn,18.07167,68.44417,515,Natural Lake,Europe,Sweden,Europe,50,-24,8428.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/0d1q-p773,Tundra
45698,OTTHAU,26210,Haugtjernet,10.87192,60.83329,338,Natural Lake,Europe,Norway,Europe,65,-26,8404.5,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/cr6x-be86,Boreal forests/taiga
45701,OTTKIN,26211,Kinnshaugen,10.35774,61.1078,591,Natural Lake,Europe,Norway,Europe,47,-28,8381,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/epv2-3m87,Boreal forests/taiga
45704,SETESOY,26212,Øygardstjønn,7.985,59.62523,665,Natural Lake,Europe,Norway,Europe,39,-25,8246,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/bfpc-jd87,Boreal forests/taiga
45707,SETESLT,26213,Lisletjønn,7.30337,59.34237,520,Natural Lake,Europe,Norway,Europe,39,-25,8447,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/yxzd-xn66,Tundra
45710,SETESF,26214,Flotatjønn,7.53886,59.66874,890,Natural Lake,Europe,Norway,Europe,39,-26,8342,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/wjmk-7376,Tundra
45713,SETESLK,26215,Lille Kjelavatn,7.2514,59.79573,978,Natural Lake,Europe,Norway,Europe,79,-23.5,8448,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/9e9x-ff23,Tundra
45716,SETESH,26216,Holebudalen,6.99194,59.84139,1144,Natural Lake,Europe,Norway,Europe,64,-28,8378,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/rfek-5a50,Tundra
45719,SETESGR,26217,Grostjørna,7.73221,58.53704,180,Natural Lake,Europe,Norway,Europe,59,-26,8437,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/w0j3-9h31,Boreal forests/taiga
45722,SETESR,26218,Reiersdalvann,7.78231,58.32563,245,Natural Lake,Europe,Norway,Europe,79,-26,8401,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/tpvk-wa79,Boreal forests/taiga
45725,SETESD,26219,Dalane,8.00356,58.24364,40,Natural Lake,Europe,Norway,Europe,50,-28,8495,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/s0pq-6335,Temperate broadleaf and mixed forests
45728,SETESGH,26220,Grauthelleren,7.91361,58.14445,80,Natural Lake,Europe,Norway,Europe,46,-25.5,8362,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/b5h9-pm78,Temperate broadleaf and mixed forests
45731,SETESI,26221,Isbenttjønn,7.43237,59.76425,787,Natural Lake,Europe,Norway,Europe,52,-26,8427,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/37a7-9h33,Tundra
46457,NIZHNEOS,26566,Nizhneosinovskoye peat bog,29.14831,60.68702,23,Bog,Europe,Russia,Europe,36,-24,8482,30,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/4jv3-em45,Boreal forests/taiga
46516,BABINSKO,26589,Lake Babinskoye,28.61129,59.61457,7,Lacustrine,Europe,Russia,Europe,48,160,7840,10,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/7F5C-W552,Temperate broadleaf and mixed forests
46544,PAR,26596,Parika,25.77353,58.48888,50,Bog,Europe,Estonia,Europe,35,372,8300,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/FJC1-HS98,Temperate broadleaf and mixed forests
48738,KANNA,27247,Kanna fen,22.09672,58.32503,38,Fen,Europe,Estonia,Europe,47,-35,8488,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/9VAP-T645,Temperate broadleaf and mixed forests
